"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2020","61.9991","61.9991","61.9991","61.9991","-","0.75%"
"Oct 24, 2020","61.5355","61.5355","61.5355","61.5355","-","-1.02%"
"Oct 23, 2020","62.1722","62.1722","62.1722","62.1722","-","-6.43%"
"Oct 22, 2020","66.4477","66.4477","66.4477","66.4477","-","-2.14%"
"Oct 21, 2020","67.9009","67.9009","67.9009","67.9009","-","14.86%"
"Oct 20, 2020","59.1138","59.1138","59.1138","59.1138","-","3.49%"
"Oct 19, 2020","57.1201","57.1201","57.1201","57.1201","-","1.48%"
"Oct 18, 2020","56.2878","56.2878","56.2878","56.2878","-","-1.20%"
"Oct 17, 2020","56.9742","56.9742","56.9742","56.9742","-","-1.22%"
"Oct 16, 2020","57.6807","57.6807","57.6807","57.6807","-","-0.10%"
"Oct 15, 2020","57.7394","57.7394","57.7394","57.7394","-","-3.43%"
"Oct 14, 2020","59.7924","59.7924","59.7924","59.7924","-","-1.65%"
"Oct 13, 2020","60.7983","60.7983","60.7983","60.7983","-","0.76%"
"Oct 12, 2020","60.3395","60.3395","60.3395","60.3395","-","-0.08%"
"Oct 11, 2020","60.3854","60.3854","60.3854","60.3854","-","-0.48%"
"Oct 10, 2020","60.6794","60.6794","60.6794","60.6794","-","1.96%"
"Oct 09, 2020","59.5141","59.5141","59.5141","59.5141","-","-4.62%"
"Oct 08, 2020","62.3959","62.3959","62.3959","62.3959","-","-1.30%"
"Oct 07, 2020","63.2181","63.2181","63.2181","63.2181","-","1.68%"
"Oct 06, 2020","62.1748","62.1748","62.1748","62.1748","-","-0.87%"
"Oct 05, 2020","62.7207","62.7207","62.7207","62.7207","-","1.74%"
"Oct 04, 2020","61.6460","61.6460","61.6460","61.6460","-","1.62%"
"Oct 03, 2020","60.6610","60.6610","60.6610","60.6610","-","-1.45%"
"Oct 02, 2020","61.5531","61.5531","61.5531","61.5531","-","0.35%"
"Oct 01, 2020","61.3368","61.3368","61.3368","61.3368","-","5.09%"
"Sep 30, 2020","58.3668","58.3668","58.3668","58.3668","-","0.03%"
"Sep 29, 2020","58.3483","58.3483","58.3483","58.3483","-","-1.01%"
"Sep 28, 2020","58.9412","58.9412","58.9412","58.9412","-","0.93%"
"Sep 27, 2020","58.4005","58.4005","58.4005","58.4005","-","0.50%"
"Sep 26, 2020","58.1116","58.1116","58.1116","58.1116","-","-0.86%"
"Sep 25, 2020","58.6159","58.6159","58.6159","58.6159","-","-8.00%"
"Sep 24, 2020","63.7105","63.7105","63.7105","63.7105","-","1.74%"
"Sep 23, 2020","62.6237","62.6237","62.6237","62.6237","-","-0.63%"
"Sep 22, 2020","63.0234","63.0234","63.0234","63.0234","-","1.35%"
"Sep 21, 2020","62.1866","62.1866","62.1866","62.1866","-","6.07%"
"Sep 20, 2020","58.6276","58.6276","58.6276","58.6276","-","-0.84%"
"Sep 19, 2020","59.1259","59.1259","59.1259","59.1259","-","-1.17%"
"Sep 18, 2020","59.8288","59.8288","59.8288","59.8288","-","-6.51%"
"Sep 17, 2020","63.9965","63.9965","63.9965","63.9965","-","-5.29%"
"Sep 16, 2020","67.5706","67.5706","67.5706","67.5706","-","-0.21%"
"Sep 15, 2020","67.7130","67.7130","67.7130","67.7130","-","0.55%"
"Sep 14, 2020","67.3444","67.3444","67.3444","67.3444","-","-1.26%"
"Sep 13, 2020","68.2029","68.2029","68.2029","68.2029","-","0.45%"
"Sep 12, 2020","67.8964","67.8964","67.8964","67.8964","-","-6.56%"
"Sep 11, 2020","72.6631","72.6631","72.6631","72.6631","-","-4.34%"
"Sep 10, 2020","75.9582","75.9582","75.9582","75.9582","-","-9.89%"
"Sep 09, 2020","84.2996","84.2996","84.2996","84.2996","-","-1.41%"
"Sep 08, 2020","85.5059","85.5059","85.5059","85.5059","-","2.97%"
"Sep 07, 2020","83.0414","83.0414","83.0414","83.0414","-","0.18%"
"Sep 06, 2020","82.8900","82.8900","82.8900","82.8900","-","0.56%"
"Sep 05, 2020","82.4291","82.4291","82.4291","82.4291","-","11.91%"
"Sep 04, 2020","73.6590","73.6590","73.6590","73.6590","-","4.46%"
"Sep 03, 2020","70.5126","70.5126","70.5126","70.5126","-","4.69%"
"Sep 02, 2020","67.3533","67.3533","67.3533","67.3533","-","-3.79%"
"Sep 01, 2020","70.0088","70.0088","70.0088","70.0088","-","2.45%"
"Aug 31, 2020","68.3376","68.3376","68.3376","68.3376","-","2.35%"
"Aug 30, 2020","66.7676","66.7676","66.7676","66.7676","-","0.23%"
"Aug 29, 2020","66.6122","66.6122","66.6122","66.6122","-","-3.10%"
"Aug 28, 2020","68.7425","68.7425","68.7425","68.7425","-","-4.75%"
"Aug 27, 2020","72.1712","72.1712","72.1712","72.1712","-","-0.54%"
"Aug 26, 2020","72.5659","72.5659","72.5659","72.5659","-","-1.54%"
"Aug 25, 2020","73.7044","73.7044","73.7044","73.7044","-","0.00%"
"Aug 24, 2020","73.7010","73.7010","73.7010","73.7010","-","-1.46%"
"Aug 23, 2020","74.7939","74.7939","74.7939","74.7939","-","-1.35%"
"Aug 22, 2020","75.8162","75.8162","75.8162","75.8162","-","0.03%"
"Aug 21, 2020","75.7958","75.7958","75.7958","75.7958","-","-1.48%"
"Aug 20, 2020","76.9311","76.9311","76.9311","76.9311","-","-6.17%"
"Aug 19, 2020","81.9934","81.9934","81.9934","81.9934","-","-4.52%"
"Aug 18, 2020","85.8771","85.8771","85.8771","85.8771","-","0.14%"
"Aug 17, 2020","85.7554","85.7554","85.7554","85.7554","-","-1.73%"
"Aug 16, 2020","87.2609","87.2609","87.2609","87.2609","-","2.68%"
"Aug 15, 2020","84.9813","84.9813","84.9813","84.9813","-","8.30%"
"Aug 14, 2020","78.4655","78.4655","78.4655","78.4655","-","7.80%"
"Aug 13, 2020","72.7851","72.7851","72.7851","72.7851","-","-1.94%"
"Aug 12, 2020","74.2278","74.2278","74.2278","74.2278","-","-5.44%"
"Aug 11, 2020","78.4948","78.4948","78.4948","78.4948","-","6.37%"
"Aug 10, 2020","73.7909","73.7909","73.7909","73.7909","-","-0.59%"
"Aug 09, 2020","74.2262","74.2262","74.2262","74.2262","-","-0.69%"
"Aug 08, 2020","74.7454","74.7454","74.7454","74.7454","-","-2.13%"
"Aug 07, 2020","76.3742","76.3742","76.3742","76.3742","-","0.46%"
